origin,ori_ts,destination,des_ts,cost,k
1.0,1528285802.0,16.0,1528286526.0,0.2763328868720389,1.0
15.0,1528285802.0,10.0,1528286888.0,0.019988268736182004,1.0
9.0,1528285802.0,3.0,1528285440.0,0.33426021965734626,1.0
12.0,1528286164.0,2.0,1528286888.0,0.13315214137761763,1.0
14.0,1528286164.0,10.0,1528286888.0,0.20868955054878036,1.0
5.0,1528286164.0,10.0,1528286526.0,0.4809805166967995,1.0
6.0,1528286164.0,15.0,1528285802.0,0.46484299350863423,1.0
11.0,1528286526.0,4.0,1528287250.0,0.09210836514298039,1.0
3.0,1528286526.0,14.0,1528286164.0,0.08858362874637453,1.0
1.0,1528286888.0,12.0,1528287612.0,0.07495662262063262,1.0
11.0,1528286888.0,3.0,1528287612.0,0.04219298131969851,1.0
14.0,1528286888.0,5.0,1528287250.0,0.17228574890990947,1.0
15.0,1528286888.0,1.0,1528287250.0,0.27577693929730357,1.0
15.0,1528286888.0,2.0,1528287250.0,0.3839430368545016,2.0
15.0,1528286888.0,8.0,1528287612.0,0.276676307652345,1.0
2.0,1528286888.0,6.0,1528286526.0,0.1706853300649477,1.0
3.0,1528286888.0,11.0,1528287250.0,0.46236878530989534,1.0
4.0,1528286888.0,1.0,1528287250.0,0.17584005976645603,1.0
4.0,1528286888.0,12.0,1528287612.0,0.21038108928146862,1.0
6.0,1528286888.0,1.0,1528287250.0,0.25380056686421026,1.0
6.0,1528286888.0,2.0,1528287250.0,0.19184703137732037,1.0
5.0,1528287250.0,15.0,1528286888.0,0.41014581781978815,1.0
1.0,1528287612.0,11.0,1528288336.0,0.046610298124919666,1.0
11.0,1528287612.0,14.0,1528288698.0,0.0630529392532787,1.0
16.0,1528287612.0,9.0,1528288336.0,0.4448431758650938,1.0
16.0,1528287612.0,6.0,1528288698.0,0.09154724308938023,1.0
2.0,1528287612.0,10.0,1528288336.0,0.11969786716114843,1.0
6.0,1528287612.0,11.0,1528288336.0,0.2031469093326465,1.0
6.0,1528287612.0,11.0,1528288698.0,0.19527963600103024,1.0
10.0,1528287914.0,1.0,1528288698.0,0.003540988273812631,1.0
10.0,1528287914.0,15.0,1528288698.0,0.28607398058376204,1.0
15.0,1528287914.0,11.0,1528288698.0,0.3129502738997346,1.0
3.0,1528287914.0,11.0,1528288336.0,0.37325863922866254,1.0
9.0,1528287914.0,11.0,1528288698.0,0.2894656945155633,1.0
13.0,1528288336.0,3.0,1528289422.0,0.10813160440313949,1.0
2.0,1528288336.0,11.0,1528288698.0,0.467305507649022,3.0
3.0,1528288336.0,11.0,1528288698.0,0.46236878530989534,1.0
